"Nombre","Telefono","Email","Ultima_Compra","Frecuencia","Producto","Estado","Motivo_Abandono","Contactado","Respondio","Compro","Fecha_Reactivacion","Valor_Compra"
"Carlos 24","3999426719","user24@mail.com","2025-09-02","Media","Queso","Inactivo","No lo encuentra","Sí","Sí","No","",""
"Luisa 25","3669122762","user25@mail.com","2025-07-20","Media","Avena","Inactivo","Otro","Sí","Sí","Sí","2026-04-17","56030"
"Pedro 26","3292633111","user26@mail.com","2025-05-25","Alta","Avena","Inactivo","Otra marca","Sí","Sí","No","",""
"Maria 27","3916241737","user27@mail.com","2025-06-02","Baja","Yogur","Inactivo","Otra marca","No","No","No","",""
"Jorge 28","3869974973","user28@mail.com","2025-09-18","Baja","Yogur","Inactivo","No lo encuentra","No","No","No","",""
"Maria 29","3114043896","user29@mail.com","2025-05-10","Alta","Leche","Inactivo","Otro","No","No","No","",""
"Laura 30","3119681609","user30@mail.com","2026-01-19","Media","Leche","Inactivo","Otro","Sí","Sí","No","",""
"Jorge 31","3768133809","user31@mail.com","2025-05-06","Alta","Queso","Inactivo","No lo encuentra","Sí","Sí","Sí","2026-04-17","16379"
"Jorge 32","3449364367","user32@mail.com","2025-12-14","Alta","Yogur","Inactivo","Otra marca","Sí","No","No","",""
"Carlos 33","3187204671","user33@mail.com","2025-12-10","Alta","Leche","Inactivo","Otro","Sí","Sí","No","",""
"Laura 34","3662830042","user34@mail.com","2025-09-09","Media","Queso","Inactivo","Otra marca","No","No","No","",""
"Pedro 35","3127938569","user35@mail.com","2025-12-11","Baja","Queso","Inactivo","Precio","Sí","No","No","",""
"Carlos 36","3960953113","user36@mail.com","2025-11-27","Baja","Avena","Inactivo","Precio","Sí","Sí","Sí","2026-04-17","66839"
"Luisa 37","3509083246","user37@mail.com","2025-07-08","Alta","Leche","Inactivo","Otra marca","Sí","No","No","",""
"Pedro 38","3767684710","user38@mail.com","2025-11-02","Media","Leche","Inactivo","No lo encuentra","No","No","No","",""
"Maria 39","3522313116","user39@mail.com","2025-11-15","Media","Queso","Inactivo","No lo encuentra","No","No","No","",""
"Sofia 40","3951485931","user40@mail.com","2026-03-08","Media","Avena","Inactivo","Otra marca","No","No","No","",""
"Carlos 41","3608623002","user41@mail.com","2026-02-18","Baja","Avena","Inactivo","Precio","No","No","No","",""
"Sofia 42","3897833595","user42@mail.com","2025-08-11","Media","Leche","Inactivo","Otra marca","Sí","No","No","",""
"Maria 43","3740742053","user43@mail.com","2025-09-28","Baja","Queso","Inactivo","Otra marca","Sí","No","No","",""
"Carlos 44","3582002842","user44@mail.com","2025-07-14","Media","Leche","Inactivo","Otra marca","Sí","No","No","",""
"Laura 45","3229781793","user45@mail.com","2025-09-28","Baja","Queso","Inactivo","Otra marca","No","No","No","",""
"Diego 46","3390543939","user46@mail.com","2025-10-04","Baja","Avena","Inactivo","Otro","Sí","Sí","No","",""
"Laura 47","3346877945","user47@mail.com","2025-05-13","Alta","Avena","Inactivo","Precio","No","No","No","",""
"Sofia 48","3349067626","user48@mail.com","2025-10-12","Baja","Avena","Inactivo","Otro","Sí","No","No","",""
"Maria 49","3788925066","user49@mail.com","2025-12-02","Baja","Leche","Inactivo","Otro","No","No","No","",""
"Diego 50","3724466206","user50@mail.com","2025-06-20","Baja","Yogur","Inactivo","Otra marca","No","No","No","",""
"Maria 51","3488882738","user51@mail.com","2026-02-07","Alta","Yogur","Inactivo","No lo encuentra","Sí","No","No","",""
"Laura 52","3588406947","user52@mail.com","2026-01-28","Alta","Leche","Inactivo","Otra marca","Sí","Sí","No","",""
"Jorge 53","3210097382","user53@mail.com","2025-08-14","Baja","Yogur","Inactivo","Precio","Sí","No","No","",""
"Laura 54","3241204545","user54@mail.com","2025-08-25","Alta","Yogur","Inactivo","No lo encuentra","No","No","No","",""
"Carlos 55","3693397487","user55@mail.com","2025-12-14","Baja","Leche","Inactivo","No lo encuentra","No","No","No","",""
"Carlos 56","3473619100","user56@mail.com","2025-06-07","Baja","Leche","Inactivo","Otra marca","No","No","No","",""
"Sofia 57","3850308758","user57@mail.com","2025-11-30","Baja","Yogur","Inactivo","Otro","No","No","No","",""
"Sofia 58","3870167630","user58@mail.com","2025-05-02","Baja","Queso","Inactivo","Otro","Sí","Sí","No","",""
"Luisa 59","3625917138","user59@mail.com","2025-10-28","Baja","Yogur","Inactivo","Otra marca","No","No","No","",""
"Juan 60","3197011239","user60@mail.com","2025-11-23","Baja","Yogur","Inactivo","No lo encuentra","No","No","No","",""
"Jorge 61","3757902148","user61@mail.com","2026-01-19","Alta","Yogur","Inactivo","No lo encuentra","No","No","No","",""
"Luisa 62","3585828834","user62@mail.com","2025-09-06","Baja","Yogur","Inactivo","Otro","Sí","Sí","Sí","2026-04-17","11271"
"Maria 63","3107013536","user63@mail.com","2025-11-22","Media","Leche","Inactivo","Precio","Sí","No","No","",""
"Laura 64","3160349789","user64@mail.com","2025-12-27","Media","Leche","Inactivo","Otro","No","No","No","",""
"Ana 65","3815567055","user65@mail.com","2025-11-18","Baja","Queso","Inactivo","Precio","Sí","Sí","Sí","2026-04-17","49109"
"Luisa 66","3165077743","user66@mail.com","2025-10-17","Alta","Queso","Inactivo","Otra marca","No","No","No","",""
"Juan 67","3974769316","user67@mail.com","2025-10-18","Baja","Avena","Inactivo","Precio","Sí","No","No","",""
"Maria 68","3847559408","user68@mail.com","2026-01-04","Baja","Avena","Inactivo","Otro","Sí","Sí","No","",""
"Maria 69","3536231925","user69@mail.com","2025-07-07","Media","Leche","Inactivo","Otra marca","Sí","No","No","",""
"Sofia 70","3109967858","user70@mail.com","2025-09-06","Alta","Avena","Inactivo","No lo encuentra","Sí","Sí","Sí","2026-04-17","27928"
"Laura 71","3599112038","user71@mail.com","2026-03-08","Alta","Queso","Inactivo","Otro","No","No","No","",""
"Jorge 72","3885847034","user72@mail.com","2025-05-30","Media","Yogur","Inactivo","No lo encuentra","No","No","No","",""
"Pedro 73","3116859545","user73@mail.com","2026-03-16","Baja","Leche","Inactivo","No lo encuentra","Sí","No","No","",""
"Pedro 74","3225537775","user74@mail.com","2026-03-04","Media","Avena","Inactivo","No lo encuentra","No","No","No","",""
"Diego 75","3207696872","user75@mail.com","2025-10-04","Baja","Yogur","Inactivo","Otro","No","No","No","",""
"Ana 76","3186136534","user76@mail.com","2025-12-26","Alta","Queso","Inactivo","Otra marca","Sí","Sí","Sí","2026-04-17","59722"
"Laura 77","3486322402","user77@mail.com","2025-08-29","Media","Avena","Inactivo","No lo encuentra","Sí","No","No","",""
"Pedro 78","3708973216","user78@mail.com","2026-03-02","Baja","Leche","Inactivo","Otro","Sí","Sí","No","",""
"Pedro 79","3288119255","user79@mail.com","2026-02-15","Media","Avena","Inactivo","No lo encuentra","Sí","No","No","",""
"Sofia 80","3956256883","user80@mail.com","2025-08-20","Media","Avena","Inactivo","Otro","No","No","No","",""
"Luisa 81","3214330834","user81@mail.com","2025-12-29","Media","Yogur","Inactivo","Otro","No","No","No","",""
"Carlos 82","3697595368","user82@mail.com","2025-08-22","Baja","Yogur","Inactivo","Otro","Sí","Sí","Sí","2026-04-17","37045"
"Diego 83","3969462026","user83@mail.com","2026-01-29","Media","Leche","Inactivo","No lo encuentra","Sí","No","No","",""
"Juan 84","3837356552","user84@mail.com","2025-11-12","Alta","Avena","Inactivo","Otro","Sí","Sí","No","",""
"Sofia 85","3160084723","user85@mail.com","2025-07-17","Alta","Yogur","Inactivo","No lo encuentra","Sí","Sí","No","",""
"Ana 86","3564615034","user86@mail.com","2025-07-29","Media","Yogur","Inactivo","No lo encuentra","No","No","No","",""
"Jorge 87","3871624813","user87@mail.com","2025-08-04","Alta","Leche","Inactivo","Otra marca","No","No","No","",""
"Carlos 88","3708553538","user88@mail.com","2025-12-13","Alta","Avena","Inactivo","No lo encuentra","No","No","No","",""
"Diego 89","3389003135","user89@mail.com","2025-11-05","Media","Leche","Inactivo","Otro","Sí","No","No","",""
"Pedro 90","3872685475","user90@mail.com","2026-02-18","Baja","Leche","Inactivo","Precio","Sí","Sí","Sí","2026-04-17","57686"
"Pedro 91","3321641298","user91@mail.com","2025-09-15","Media","Queso","Inactivo","No lo encuentra","Sí","Sí","Sí","2026-04-17","71303"
"Jorge 92","3861151586","user92@mail.com","2025-05-06","Baja","Leche","Inactivo","No lo encuentra","Sí","No","No","",""
"Diego 93","3701335084","user93@mail.com","2026-02-09","Media","Avena","Inactivo","Otra marca","No","No","No","",""
"Laura 94","3628131405","user94@mail.com","2025-12-18","Baja","Avena","Inactivo","Otro","No","No","No","",""
"Diego 95","3405212691","user95@mail.com","2026-03-04","Baja","Avena","Inactivo","No lo encuentra","Sí","Sí","No","",""
"Sofia 96","3572085336","user96@mail.com","2026-03-15","Baja","Leche","Inactivo","Otro","No","No","No","",""
"Diego 97","3586247158","user97@mail.com","2025-04-22","Alta","Leche","Inactivo","Otro","Sí","No","No","",""
"Juan 98","3607215404","user98@mail.com","2026-02-21","Media","Avena","Inactivo","Otra marca","Sí","Sí","No","",""
"Carlos 99","3472910292","user99@mail.com","2025-10-11","Baja","Yogur","Inactivo","Precio","No","No","No","",""
